"<a href=""https://en.wikipedia.org/wiki/Abyssal_plain"" title=""Abyssal plain"">abyssal plain</a>"|"
<dd class=""glossary"">Flat or very gently sloping areas of the deep ocean basin floor.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Crystallinity"" title=""Crystallinity"">crystallinity</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Dacite"" title=""Dacite"">dacite</a>"|"
<dd class=""glossary"">An igneous, volcanic rock with a high iron content. It is an extrusive rock of the same general composition as <a href=""#andesite""><span title=""See entry on this page at § andesite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">andesite</span></a>, but a less calcic feldspar. Synonymous with <i>quartz andesite</i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Daughter_product"" class=""mw-redirect"" title=""Daughter product"">daughter product</a>"|"
<dd class=""glossary"">Any distinct isotope produced by the radioactive decay of an atomic nucleus.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/River_delta"" title=""River delta"">delta</a>"|"
<dd class=""glossary"">A landform where the mouth of a river flows into an ocean, sea, desert, estuary, lake or another river.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Degradation_(geology)"" title=""Degradation (geology)"">degradation</a>"|"
<dd class=""glossary"">The lowering of a fluvial surface, such as a stream bed or floodplain, through erosional processes.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dendrite_(crystal)"" title=""Dendrite (crystal)"">dendrite</a>"|"
<dd class=""glossary"">A crystal that develops with a typical multi-branching tree-like form.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Deposition_(geology)"" title=""Deposition (geology)"">deposition</a>"|"
<dd class=""glossary"">The geological process by which material is added to a landform or landmass.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Detachment_fault"" title=""Detachment fault"">detachment fault</a>"|"
<dd class=""glossary"">A major fault in a mountain belt above which rocks have been intensely folded or faulted.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diagenesis"" title=""Diagenesis"">diagenesis</a>"|"
<dd class=""glossary"">The process of chemical, physical, or biological change undergone by a sediment after its initial deposition and during and after its <a href=""#lithification""><span title=""See entry on this page at § lithification"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">lithification</span></a>, exclusive of surface alteration (weathering) and metamorphism.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diamictite"" title=""Diamictite"">diamictite</a>"|"
<dd class=""glossary"">A comprehensive non-generic term for a non-sorted or poorly sorted non-calcareous terrigenous sedimentary rock that contains a wide range of particle sizes such as rock with sand or larger particles in a muddy matrix.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diapir"" title=""Diapir"">diapir</a>"|"
<dd class=""glossary"">A type of intrusion in which a more mobile and ductily deformable material is forced into brittle overlying rocks; a dome or anticlinal fold of the overlaying rocks which has been ruptured by the squeezing out of the plastic core material.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diatomite"" class=""mw-redirect"" title=""Diatomite"">diatomite</a>"|"
<dd class=""glossary"">A soft, <a href=""#chalk""><span title=""See entry on this page at § chalk"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">chalk</span></a>-like <a href=""#sedimentary_rock""><span title=""See entry on this page at § sedimentary rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary rock</span></a> that is easily crumbled into a fine white to off-white powder.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diopside"" title=""Diopside"">diopside</a>"|"
<dd class=""glossary"">A <a href=""#monoclinic""><span title=""See entry on this page at § monoclinic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">monoclinic</span></a> <a href=""#pyroxene""><span title=""See entry on this page at § pyroxene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pyroxene</span></a>, ideally consisting of silicate of calcium and magnesium, but commonly containing a variable content of FeSi2O6 in addition, and then strictly known as ferriferous diopside.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Diorite"" title=""Diorite"">diorite</a>"|"
<dd class=""glossary"">A grey to dark grey intermediate intrusive igneous rock composed principally of <a href=""#plagioclase""><span title=""See entry on this page at § plagioclase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plagioclase</span></a> feldspar (typically andesine), <a href=""#biotite""><span title=""See entry on this page at § biotite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">biotite</span></a>, <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, and/or <a href=""#pyroxene""><span title=""See entry on this page at § pyroxene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pyroxene</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dike_(geology)"" title=""Dike (geology)"">dike</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also spelled <b>dyke</b>.</span></p>
<dd class=""glossary"">A type of sheet intrusion referring to any geologic body that cuts discordantly across. A form of minor intrusion injected into the crust during its subjection to tension, the dyke being thin with parallel sides, and maintaining a constant direction in some cases for long distances. Some are more resistant to weathering than the surrounding rock and stand up like walls, while others weather faster and form long narrow depressions.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dip_slope"" title=""Dip slope"">dip slope</a>"|"
<dd class=""glossary"">A geological formation often created by erosion of tilted strata.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Disconformity"" class=""mw-redirect"" title=""Disconformity"">disconformity</a>"|"
<dd class=""glossary"">A surface that represents missing rock strata but beds above and below that surface are parallel to one another.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Divergent_boundary"" title=""Divergent boundary"">divergent boundary</a>"|"
<dd class=""glossary"">The boundary separating two <a href=""#tectonic_plate""><span title=""See entry on this page at § tectonic plate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">tectonic plates</span></a> that are moving away from each other. Contrast <i><a href=""#convergent_boundary""><span title=""See entry on this page at § convergent boundary"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">convergent boundary</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dolomite_(rock)"" class=""mw-redirect"" title=""Dolomite (rock)"">dolomite</a>"|"
<dd class=""glossary"">A <a href=""#sedimentary""><span title=""See entry on this page at § sedimentary"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">sedimentary</span></a> <a href=""#carbonate""><span title=""See entry on this page at § carbonate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">carbonate</span></a> rock and mineral, both composed of crystalline <a href=""https://en.wikipedia.org/wiki/Calcium_magnesium_carbonate"" class=""mw-redirect"" title=""Calcium magnesium carbonate"">calcium magnesium carbonate</a> CaMg(CO<sub>3</sub>)<sub>2</sub>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dolerite"" class=""mw-redirect"" title=""Dolerite"">dolerite</a>"|"
<dd class=""glossary"">1.&#160;&#160;A basic <a href=""#igneous_rock""><span title=""See entry on this page at § igneous rock"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous rock</span></a> of medium grain size, occurring as minor intrusions or in the central parts of thick lava flows.</dd>
<dd class=""glossary"">2.&#160;&#160;A dark-coloured, basic, igneous rock, composed essentially of <a href=""#pyroxene""><span title=""See entry on this page at § pyroxene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pyroxene</span></a> and a triclinic <a href=""#feldspar""><span title=""See entry on this page at § feldspar"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">feldspar</span></a> with magnetic iron. Considered by some authors to be equivalent to a coarse-grained <a href=""#basalt""><span title=""See entry on this page at § basalt"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">basalt</span></a>.</dd>
<dd class=""glossary"">3.&#160;&#160;A dark, crystalline, igneous rock, chiefly pyroxene with <a href=""https://en.wikipedia.org/wiki/Labradorite"" title=""Labradorite"">labradorite</a>.</dd>
<dd class=""glossary"">4.&#160;&#160;Coarse-grained basalt.</dd>
<dd class=""glossary"">5.&#160;&#160;<a href=""#diabase""><span title=""See entry on this page at § diabase"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Diabase</span></a>.</dd>
<dd class=""glossary"">6.&#160;&#160;Any dark igneous rock composed chiefly of <a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">silicates</span></a> of iron and magnesium with some feldspar.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Drill_core"" class=""mw-redirect"" title=""Drill core"">drill core</a>"|"
<dd class=""glossary"">A drill specifically designed to remove a cylinder of material, much like a hole saw.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Drumlin"" title=""Drumlin"">drumlin</a>"|"
<dd class=""glossary"">An elongated, whale-shaped hill formed by glacial action.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Dunite"" title=""Dunite"">dunite</a>"|"
<dd class=""glossary"">An <a href=""#ultramafic""><span title=""See entry on this page at § ultramafic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">ultrabasic</span></a> <a href=""#plutonic""><span title=""See entry on this page at § plutonic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">plutonic</span></a> rock in which the mafic material is almost entirely <a href=""#olivine""><span title=""See entry on this page at § olivine"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">olivine</span></a>, with accessory <a href=""https://en.wikipedia.org/wiki/Chromite"" title=""Chromite"">chromite</a> almost always present. Feldspar mainly plagioclase. See also <i><a href=""https://en.wikipedia.org/wiki/Peridotite"" title=""Peridotite"">peridotite</a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Duricrust"" title=""Duricrust"">duricrust</a>"|"
<dd class=""glossary"">A general term for hard crust existing as a layer in or on the surface of the upper horizons of a soil in semi-arid climates. Duricrust is formed by the accumulation of solid minerals deposited by water moving upwards by capillary action and evaporating in the dry season. Compare <a href=""#hardpan""><span title=""See entry on this page at § hardpan"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hardpan</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Earthquake"" title=""Earthquake"">earthquake</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Eclogite"" title=""Eclogite"">eclogite</a>"|"
<dd class=""glossary"">A generally coarse- to medium-grained <a href=""#pyroxene""><span title=""See entry on this page at § pyroxene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">pyroxene</span></a> in which are set red <a href=""#garnet""><span title=""See entry on this page at § garnet"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">garnets</span></a>. The colour is pistachio green when fresh, but mottled with red when weathered.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Eemian_transgression&amp;action=edit&amp;redlink=1"" class=""new"" title=""Eemian transgression (page does not exist)"">Eemian transgression</a>"|"
<dd class=""glossary"">The portion of the Late Pleistocene spanning the period between 120 Ka and 8m before present.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Geological_period"" title=""Geological period"">eon</a>"|"<dd class=""glossary"">The largest unit of geologic time.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Epicenter"" title=""Epicenter"">epicenter</a>"|"
<dd class=""glossary"">The point on the Earth's surface that is directly above the <a href=""#hypocenter""><span title=""See entry on this page at § hypocenter"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hypocenter</span></a> or focus at which an <a href=""#earthquake""><span title=""See entry on this page at § earthquake"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">earthquake</span></a> or underground explosion originates.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Epidiorite"" class=""mw-redirect"" title=""Epidiorite"">epidiorite</a>"|"
<dd class=""glossary"">Any of a set of altered gabbroic and doleritic rocks in which the original pyroxene has been replaced by fibrous <a href=""#amphibole""><span title=""See entry on this page at § amphibole"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">amphibole</span></a>. The rock may be regarded as a first step in the conversion by dynamothermal metamorphism of a basic igneous rock into a green <a href=""#schist""><span title=""See entry on this page at § schist"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">schist</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Epirogenetic"" class=""mw-redirect"" title=""Epirogenetic"">epirogenetic</a>"|"
<dd class=""glossary"">The simultaneous rising and falling movements of continents, maintaining isostasy.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Epoch_(reference_date)"" class=""mw-redirect"" title=""Epoch (reference date)"">epoch</a>"|"
<dd class=""glossary"">A division of the standard geologic time scale subordinate to <a href=""#period""><span title=""See entry on this page at § period"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">periods</span></a>. An example is the <a href=""#pleistocene""><span title=""See entry on this page at § Pleistocene"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Pleistocene Epoch</span></a> of the Quaternary Period.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Erosion"" title=""Erosion"">erosion</a>"|"
<dd class=""glossary"">The displacement of solids (sediment, soil, rock and other particles) usually by the agents of currents such as wind, water, or ice by downward or down-slope movement in response to gravity or by living organisms (in the case of <a href=""https://en.wikipedia.org/wiki/Bioerosion"" title=""Bioerosion"">bioerosion</a>).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Glacial_erratic"" title=""Glacial erratic"">erratic</a>"|"
<dd class=""glossary"">A piece of rock that deviates from the size and type of rock native to the area in which it rests. Erratics usually occur as stones ranging in size from pebbles to large boulders which were transported by glacial ice, which upon melting left them stranded far from their original source. The name ""erratic"" is based on the errant location of these boulders.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Escarpment"" title=""Escarpment"">escarpment</a>"|"
<dd class=""glossary"">A transition zone between different physiogeographic provinces that involves an elevation differential, characterized by a cliff or steep slope.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Esker"" title=""Esker"">esker</a>"|"
<dd class=""glossary"">A long, winding ridge of stratified sand and gravel, examples of which occur in glaciated and formerly glaciated regions of Europe and North America. Eskers are frequently several miles in length and, because of their peculiar uniform shape, somewhat resemble railroad embankments.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Estuary"" title=""Estuary"">estuary</a>"|"
<dd class=""glossary"">A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Eugeosyncline"" class=""mw-redirect"" title=""Eugeosyncline"">eugeosyncline</a>"|"
<dd class=""glossary"">A geosyncline in which volcanism is associated with <a href=""#clastic_rocks""><span title=""See entry on this page at § clastic rocks"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">clastic</span></a> sedimentation; the volcanic part of an orthosyncline located away from the <a href=""#craton""><span title=""See entry on this page at § craton"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">craton</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Euhedral"" class=""mw-redirect"" title=""Euhedral"">euhedral</a>"|"
<dd class=""glossary"">Bounded by the crystal faces peculiar to the species, used of minerals. Synonymous with <a href=""#idiomorphic""><span title=""See entry on this page at § idiomorphic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">idiomorphic</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Eustatic_movements"" class=""mw-redirect"" title=""Eustatic movements"">eustatic movements</a>"|"
<dd class=""glossary"">Changes of sea level, constant over wide areas, due to alterations in the volume of the oceans resulting from the formation or melting of ice caps.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Evaporite"" title=""Evaporite"">evaporite</a>"|"
<dd class=""glossary"">Any of a diverse set of water-soluble mineral sediments that result from the evaporation of bodies of surface water.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Exfoliation_(geology)"" class=""mw-redirect"" title=""Exfoliation (geology)"">exfoliation</a>"|"
<dd class=""glossary"">The stripping of concentric rock slabs from the outer surface of a rock mass.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Extension_(geology)"" class=""mw-redirect"" title=""Extension (geology)"">extension</a>"|"
<dd class=""glossary"">Strain involving an increase in length. Extension can cause thinning and faulting.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Extrusive"" class=""mw-redirect"" title=""Extrusive"">extrusive</a>"|"
<dd class=""glossary"">A mode of <a href=""#igneous""><span title=""See entry on this page at § igneous"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">igneous</span></a> volcanic rock formation in which hot magma from inside the Earth flows out (extrudes) onto the surface as lava or explodes violently into the atmosphere to fall back as pyroclastics or tuff.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Facies"" title=""Facies"">facies</a>"|"
<dd class=""glossary"">The sum of the lithological and faunal characters of a sediment is its facies. Lithological facies involves composition, grain size, texture, colour, as well as such mass characteristics as current bedding, nature of stratification, ripple marks, etc. Similarly, metamorphic facies involves the degree of crystallisation and the mineral assemblage in a group of metamorphic rocks.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Fan_(deformation)&amp;action=edit&amp;redlink=1"" class=""new"" title=""Fan (deformation) (page does not exist)"">fanning</a>"|"
<dd class=""glossary"">Rock deformation related to <a href=""https://en.wikipedia.org/wiki/Shear_stress"" title=""Shear stress"">shear stress</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fault_(geology)"" title=""Fault (geology)"">fault</a>"|"
<dd class=""glossary"">A discrete planar rock <a href=""#fracture""><span title=""See entry on this page at § fracture"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fracture</span></a> which shows evidence of a displacement (the throw of the fault). A fault is a discrete surface.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fault_(geology)"" title=""Fault (geology)"">fault zone</a>"|"
<dd class=""glossary"">The zone where exist different discrete <a href=""#fault""><span title=""See entry on this page at § fault"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fault</span></a> planes.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Feldspar"" title=""Feldspar"">feldspar</a>"|"
<dd class=""glossary"">Any of a set of the most common minerals in the Earth's crust. All feldspars contain <a href=""https://en.wikipedia.org/wiki/Silicon"" title=""Silicon"">silicon</a>, <a href=""https://en.wikipedia.org/wiki/Aluminium"" title=""Aluminium"">aluminium</a>, and <a href=""https://en.wikipedia.org/wiki/Oxygen"" title=""Oxygen"">oxygen</a> and may contain <a href=""https://en.wikipedia.org/wiki/Potassium"" title=""Potassium"">potassium</a>, <a href=""https://en.wikipedia.org/wiki/Calcium"" title=""Calcium"">calcium</a> and <a href=""https://en.wikipedia.org/wiki/Sodium"" title=""Sodium"">sodium</a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fels"" title=""Fels"">fels</a>"|"
<dd class=""glossary"">A massive metamorphic rock lacking <a href=""#schistosity""><span title=""See entry on this page at § schistosity"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">schistosity</span></a> or <a href=""#foliation""><span title=""See entry on this page at § foliation"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">foliation</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Felsic"" title=""Felsic"">felsic</a>"|"
<dd class=""glossary""><a href=""#silicate""><span title=""See entry on this page at § silicate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Silicate</span></a> minerals, magmas, and rocks which are enriched in the lighter elements such as silicon, oxygen, aluminium, sodium, and potassium. Light minerals (quartz and feldspar) greater than 60% - acid. [Granite (Rhyolite), Adamellite (Rhyo-dacite), Granodiorite (Dacite)]. The term is a mnemonic adjective for igneous rocks having light-coloured minerals in their mode, from ""feldspar"" and ""silica"". Contrast <i><a href=""#mafic""><span title=""See entry on this page at § mafic"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">mafic</span></a></i>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Ferricrete"" title=""Ferricrete"">ferricrete</a>"|"
<dd class=""glossary"">A <a href=""#conglomerate""><span title=""See entry on this page at § conglomerate"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">conglomerate</span></a> consisting of surficial sand and gravel cemented into a hard mass by iron oxide derived from oxidation of percolating solution of iron salts. A ferruginous <a href=""#duricrust""><span title=""See entry on this page at § duricrust"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">duricrust</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/w/index.php?title=Ferromagnesian_mineral&amp;action=edit&amp;redlink=1"" class=""new"" title=""Ferromagnesian mineral (page does not exist)"">ferromagnesian mineral</a>"|"
<dd class=""glossary"">Any iron/magnesium-bearing mineral, such as <a href=""#augite""><span title=""See entry on this page at § augite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">augite</span></a>, <a href=""#hornblende""><span title=""See entry on this page at § hornblende"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">hornblende</span></a>, <a href=""#olivine""><span title=""See entry on this page at § olivine"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">olivine</span></a>, or <a href=""#biotite""><span title=""See entry on this page at § biotite"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">biotite</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fission_track_dating"" title=""Fission track dating"">fission track dating</a>"|"
<dd class=""glossary"">A method that uses tracks that are visible under the microscope to date minerals.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Flandrian_transgression"" class=""mw-redirect"" title=""Flandrian transgression"">Flandrian transgression</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Fold_(geology)"" title=""Fold (geology)"">fold</a>"|"
<dd class=""glossary"">A stack of originally flat and planar surfaces, such as sedimentary strata, which have become bent or curved as a result of plastic (i.e. permanent) deformation.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Foliation"" title=""Foliation"">foliation</a>"|"
<dd class=""glossary"">The parallel alignment of textural and structural features of a rock.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fossil"" title=""Fossil"">fossil</a>"|"
<dd class=""glossary"">Any mineralized or otherwise preserved remains or traces (such as footprints) of animals, plants, or other once-living organisms.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fossiliferous"" class=""mw-redirect"" title=""Fossiliferous"">fossiliferous</a>"|"
<dd class=""glossary"">Bearing or being composed of <a href=""#fossil""><span title=""See entry on this page at § fossil"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">fossils</span></a> in rocks or strata.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Fossilization"" class=""mw-redirect"" title=""Fossilization"">fossilization</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Fracture"" title=""Fracture"">fracture</a>"|"
<dd class=""glossary"">Any crack or discontinuity. In its geological definition, it is only used when no displacement can be distinguished.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Year#Symbols"" title=""Year"">Ga</a>"|"
<dd class=""glossary"">A non-standard but widely used abbreviation for one billion (1,000,000,000) years, using the metric prefix G (for ""Giga"") to indicate a quantity of one billion. When not otherwise qualified, it usually indicates 1,000,000,000 years <i><a href=""#before_Present""><span title=""See entry on this page at § Before Present"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">Before Present</span></a></i> (or 1,000,000,000 years ago).</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gabbro"" title=""Gabbro"">gabbro</a>"|"
<dd class=""glossary"">A dark, coarse-grained, intrusive igneous rock chemically equivalent to <a href=""#basalt""><span title=""See entry on this page at § basalt"" class=""glossary-link-internal"" style=""border-bottom: 1px dashed #86a1ff; color:initial;"" id="""">basalt</span></a>.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Garnet"" title=""Garnet"">garnet</a>"|"
<p>Looks like this term doesn't have a definition yet.</p>
<p>Maybe consider making a contribution to this <a href=""https://github.com/darigovresearch/Wikipedia-Glossary-of-Geology-Flashcards/"">project</a> or even better improve the original Wikipedia article <a href=""https://en.wikipedia.org/wiki/Glossary_of_geology"">""Glossary of geology""</a> by making a contribution and <a href=""https://twitter.com/darigovresearch"">let us know</a>!</p>
"
"<a href=""https://en.wikipedia.org/wiki/Gastrolith"" title=""Gastrolith"">gastrolith</a>"|"
<dd class=""glossary"">A rock which is or was once held inside the digestive tract of a living animal.</dd>
"
"<a href=""https://en.wikipedia.org/wiki/Gemology"" title=""Gemology"">gemology</a>"|"
<p class=""glossary-hatnote""><span role=""note"" class=""hatnote navigation-not-searchable selfref"">Also spelled <b>gemmology</b>.</span></p>
<dd class=""glossary""></dd>
"
